CF (Correct Answer)	Input	Similarity value
normal	normal	1
normal	normal	1
variability	range	0.07581243
variance	range	0.006271204
involves|uses|includes|observes	observes	0.3778835
normal	normal	1
mean|samplemean|average	[timeout]	-0.01016386
normal	normal	1
samples	probablities	0
probability	[timeout]	0.1245291
variability	variance	0.09235277
normal	[timeout]	-0.007178908
range	probablity	0
variance	[timeout]	-0.03662752
normal	normal	1
samples	observations	0.04512589
mean|samplemean|average	mean	0.6045831
normal	normal	1
variance	variance	1
normal	normal	1
distribution	range	-0.05833861
distribution	distribution	1
variability	range	0.07581243
involves|uses|includes|observes	observes	0.3778835
normal	normal	1
normal	normal	1
subject|participant|participants	[timeout]	0.02804829
99.7	standard divante	0
variance	variance	1
standarderror	range	0
variance	[timeout]	-0.03662752
density	probability	0.1350914
range|set	range	0.7634179
expect	[timeout]	0.06841187
2	1	0
standarddeviation	[timeout]	0
divided	divided	1
samples	[timeout]	-0.02774676
symmetric	[timeout]	0.03159622
variability	variance	0.09235277
standarddeviation	variance	0
standarddeviation	sample	0
statistic	stastic	0
normal	normal	1
symmetric	standard divante	-0.006093372
represents|describes|shows	[timeout]	-0.07480666
normal	normal	1
variance	varable	0
individual|single	standard	0.0457653
3	1	0
standarddeviation	range	0
variance	mean	0.01016356
2	2	0
samples	samples	1
observations	[timeout]	-0.119301
density	standard diviante	0.05455568
sample	[timeout]	0.01504148
statistic	group	0.03520112
variability	varability	0
standarddeviation	standard diviante	0
divided	divided	1
standarddeviation	same	0
variance	standard diviation	0.04679672
range	[timeout]	0.003927464
variability	dinsity	0
normal	normal	1
likelihood|probability	[timeout]	0.07016187
density	[timeout]	0.007179775
same	same	1
variance	mean	0.01016356
expect	[timeout]	0.06841187
samples	samples	1
statistic	statistics	0.2404668
divided	divided	1
standarderror	[timeout]	0
symmetric	[timeout]	0.03159622
2	3	0
standarddeviation	[timeout]	0
subject|participant|participants	subject	0.9450604
standarddeviation	standard diviant	0
sample	set	0.05641246
1	[timeout]	0
2	[timeout]	0
represent|describe|sample	[timeout]	-0.02292833
population	population	1
1|one	1	0
distribution	range	-0.05833861
range	range	1
variance	average variance	0.346544
different|far|variable	different	0.6180547
standarddeviation	deviation	0
normal	z	0.02118521
1	1	0
dividing	dividing	1
range	range	1
variance	deviation	9.478002E-05
dividing	dividing	1
observations	samples	0.04512589
distribution	range	-0.05833861
characteristic	population	-0.008440287
normal	normal	1
squareroot	average	0
normal	normal	1
variance	standard deviation	0.04290871
1|one	1	0
variability	variance	0.09235277
standarddeviation	standard deviation	0
standarddeviation	standard deviation	0
normal	normal	1
observations	observations	1
involves|uses|includes|observes	observes	0.3778835
density	distribution	0.06024716
standarddeviation	standard deviation	0
variability	variability	1
normal	normal	1
involves|uses|includes|observes	observes	0.3778835
variance	standard deviation	0.04290871
normal	normal	1
standarddeviation	standard deviation	0
involves|uses|includes|observes	observes	0.3778835
standarddeviation	standard deviation	0
samplemean|mean	mean	1
density	density	1
involves|uses|includes|observes	observes	0.3778835
normal	normal	1
range	range	1
normal	normal	1
standarddeviation	standard deviation	0
different|far|variable	different	0.6180547
standarddeviation	standard deviation	0
normal	normal	1
density	density	1
variance	variability	0.09235277
normal	normal	1
normal	normal	1
standarddeviation	standard deviation	0
standarddeviation	standard deviation	0
different|far|variable	different	0.6180547
normal	normal	1
expect	expet	0
range|set	sample	0.1380402
range	range	1
variability	variability	1
variance	variation	-0.06606006
standarddeviation	standard deviation	0
normal	normal	1
normal	normal	1
sum	sum	1
represent|describe|sample	represent	0.5618359
sample	sample	1
standarddeviation	standard deviation	0
statistic	[timeout]	-0.02000074
range|set	[timeout]	-0.02050513
difference	difference	1
standarddeviation	standard deviation	0
same	[timeout]	-0.04236013
divided	divided	1
sample	sample	1
normal	normal	1
standarddeviation	standard deviation	0
normal	normal	1
standarddeviation	standard deviation	0
normal	normal	1
statistic	number	0.1059846
same	[timeout]	-0.04236013
range	range	1
squared	average	0.09729064
statistic	variance	0.2755168
observations	sample	0.1389508
variance	variance	1
variability	standard deviation	-0.06004029
standarddeviation	standard deviation	0
population	population	1
observation	observation	1
variability	varaince	0
same	same	1
normal	normal	1
normal	normal	1
statistic	statistic	1
3	2	0
standarddeviation	standard deviatiopn	0
variance	variance	1
sample	sample	1
standarddeviation	standard deviation	0
variable|random	different	0.0874528
sum	[timeout]	0.1130021
statistic	[timeout]	-0.02000074
squared	average	0.09729064
likelihood|probability	range	0.0691823
normal	[timeout]	-0.007178908
observation	[timeout]	-0.1081844
standarddeviation	standard deviation	0
variability		NA
dividing	adding	-0.04662541
represents|describes|shows	represents	0.4684053
sample	control	-0.013139
observations		NA
probability|likelihood|chance	[timeout]	0.04769977
range		NA
variance	error	0.1428027
represent|describe|sample	represent	0.5618359
observations		NA
sample	sample	1
variance	variance	1
observations	probablity	0
range	range	1
variability	variance	0.09235277
range	range	1
variance	variance	1
density		NA
variance	variance	1
represent|describe|sample	represent	0.5618359
observations	variability	0.1464305
variance	variance	1
density	density	1
represent|describe|sample	represent	0.5618359
variability	variance	0.09235277
variance	variance	1
95	100	0
represent|describe|sample	represent	0.5618359
variance	variance	1
density	density	1
variance	variance	1
variability	range	0.07581243
equal	[timeout]	-0.001709098
count	range	-0.01143153
sample		NA
multiple|many	sample	0.09853818
standarderror	[timeout]	0
represent|describe|sample	represent	0.5618359
represents|describes|shows	shows	0.8075404
range|set	set	0.6705973
units	range	0.02721862
standarderror	[timeout]	0
mean|samplemean|average	sample	0.178982
represent|describe|sample	represent	0.5618359
mean|samplemean|average	mean	0.6045831
characteristic	unit	0.01168311
95	95	0
multiple|many	multiple	0.8556041
describes|is|represents	error	0.01381784
represents|describes|shows	shows	0.8075404
squared	main	0.01509974
probability|likelihood|chance	idea	-0.05296511
mean	mean	1
units	units	1
count	count	1
equal	[timeout]	-0.001709098
count	count	1
characteristic	characteristic	1
observation	value	-0.04629001
mean|samplemean|average	value	0.1814304
2	1	0
difference	[timeout]	0.04116857
observation	[timeout]	-0.1081844
population	[timeout]	-0.03986163
same	sample	0.06675031
mean	data	0.06266364
multiple|many	characteristic	0.09023802
sample	sample	1
normal	[timeout]	-0.007178908
range	range	1
statistic	number	0.1059846
observations	[timeout]	-0.119301
squareroot	sample	0
dividing	dividing	1
characteristic	characteristic	1
2	2	0
range	range	1
divided	multiply	0.02354734
samplemean|mean	mean	1
difference	root	0.01133235
symmetric	probable	0.1370352
sample	sample	1
2	2	0
range|set	range	0.7634179
dividing	dividing	1
range	range	1
divided	divided	1
characteristic	charateristic	0
individual|single	normal	0.001248968
samplemean|mean	mean	1
squareroot	variability	0
observations	[timeout]	-0.119301
standarddeviation	mean	0
different|far|variable	variable	0.7347568
population	sample	0.1951308
range	range	1
same	standard	0.03109268
characteristic	characteristic	1
difference	root	0.01133235
range	range	1
range	range	1
sample	sample	1
divided	divided	1
population	population	1
normal	standard	0.02859854
range|set	range	0.7634179
expect	know	0.08008067
standarddeviation	variability	0
same	normal	-0.06205643
dividing	dividing	1
statistic	observation	0.05970104
95	95	0
observations	variability	0.1464305
different|far|variable	different	0.6180547
individual|single	normal	0.001248968
range|set	range	0.7634179
measure|represent|describe	separate	-0.002730632
3	[timeout]	0
normal	normal	1
normal	normal	1
normal	normal	1
sum	sum	1
describes|is|represents	mean	0.04477699
density	standard deviation	0.07013468
sum	sum	1
normal	normal	1
represents|describes|shows	[timeout]	-0.07480666
mean|samplemean|average	mean	0.6045831
statistic	statistic	1
measure|represent|describe	measure	0.7689974
range|set	range	0.7634179
68	68	0
mean	range	0.04283211
range|set	range	0.7634179
mean|samplemean|average	mean	0.6045831
represents|describes|shows	represents	0.4684053
sum	sum	1
measure|represent|describe	measure	0.7689974
divided	dividing it	0.1973896
99.7	95	0
measure|represent|describe	measure	0.7689974
mean	mean	1
sample	measure	0.1309217
68	68	0
count	total	0.1454826
statistic	measure	0.05607052
measure|represent|describe	measure	0.7689974
mean	mean	1
observations	values	-0.05607055
population	population	1
statistic	mean	0.07658154
rootmeansquarederror	[timeout]	0
population	population	1
observations	samples	0.04512589
mean	mean	1
population	population	1
measure|represent|describe	measure	0.7689974
rootmeansquarederror	error square standard deviation	0
rootmeansquarederror	observation	0
characteristic	[timeout]	-0.05124748
multiple|many	[timeout]	0.05981871
observations	observations	1
statistic	measure	0.05607052
population	[timeout]	-0.03986163
participated	participated	1
measure|represent|describe	measure	0.7689974
describes|is|represents	represents	0.6913312
population	population	1
participated	participated	1
measure|represent|describe	measure	0.7689974
population	population	1
mean	mean	1
observations	observations	1
describes|is|represents	represents	0.6913312
expect	measure	-0.01068558
3	3	0
variability	standard deviation	-0.06004029
multiple|many	sample	0.09853818
samples	samples	1
variance	standard error	0.1191269
observation	value	-0.04629001
range	sample	0.1368643
count	count	1
1|one	[timeout]	0.00668314
normal	normal	1
distribution	range	-0.05833861
standarddeviation	standard deviation	0
range	range	1
rootmeansquarederror	square error	0
subject|participant|participants	subject	0.9450604
measure|represent|describe	measure	0.7689974
sample	sample	1
observation	value	-0.04629001
normal	normal	1
distribution	variance	0.1301108
sample	sample	1
count	count	1
expect	measure	-0.01068558
samples	samples	1
symmetric	[timeout]	0.03159622
different|far|variable	variable	0.7347568
range	range	1
squared	square root	0.06121312
1|one	1	0
statistic	measure	0.05607052
3	3	0
measure|represent|describe	measure	0.7689974
sample	sample	1
rootmeansquarederror	root mean squared error	0
multiple|many	[timeout]	0.05981871
multiple|many	multiple	0.8556041
3	3	0
rootmeansquarederror	root mean squared error	0
1|one	1	0
variability	variance	0.09235277
sample	sample	1
squared	squared	1
95	68	0
statistic	measure	0.05607052
measure|represent|describe	measure	0.7689974
observation	value	-0.04629001
distribution	statistic	0.05095213
count	count	1
represent|describe|sample	measure	0.07163207
sample	sample	1
expect	measure	-0.01068558
68	[timeout]	0
probability	range	0.04256324
95	a	0
99.7	95	0
standarddeviation		NA
68	100	0
subject|participant|participants	subject	0.9450604
95	95	0
standarddeviation	standard variation	0
statistic	percentage	0.1637119
squared	variable	0.07960542
subject|participant|participants	subject	0.9450604
symmetric		NA
95	95	0
95	95	0
squared	squared	1
sample		NA
symmetric	symetrical	0
68	68	0
99.7	98.7	0
subject|participant|participants	subject	0.9450604
sample		NA
95	95	0
95	95	0
95	95	0
statistic	sample	0.1564132
95	95	0
variable|random		NA
sample	sample	1
sample	sample	1
68	68	0
measure|represent|describe	measure	0.7689974
subject|participant|participants	sugject	0
sum	percentage	0.07994951
standarddeviation		NA
standarddeviation	standard variation	0
99.7	99.7	0
variance	variable	0.3099827
subject|participant|participants	subject	0.9450604
squareroot	sum	0
units		NA
variance	variance	1
variability	standard variance	-0.0163725
population	whole	0.0645923
standarddeviation	standard variance	0
subject|participant|participants	subject	0.9450604
rootmeansquarederror		NA
range|set	percentage	-0.04594763
likelihood|probability	liklihood	0
probability|likelihood|chance	sum	0.09864906
standarddeviation	standand deviation	0
mean|samplemean|average	square root	0.1722112
99.7	99.7	0
subject|participant|participants	subject	0.9450604
population	population	1
measure|represent|describe		NA
characteristic		NA
sum	sum	1
observations		NA
probability|likelihood|chance	probability	0.6468432
variability	variability	1
likelihood|probability	liklihood	0
sample	sample	1
variance		NA
range|set	range	0.7634179
99.7	99.7	0
68	68	0
describes|is|represents	is	0.3004219
divided		NA
rootmeansquarederror	variability	0
variable|random		NA
squared		NA
probability		NA
95	98	0
variability	behavior	0.07474238
sample	mean	0.04083578
subject|participant|participants	subject	0.9450604
density		NA
represents|describes|shows	[timeout]	-0.07480666
measure|represent|describe	measure	0.7689974
different|far|variable		NA
standarddeviation	variability	0
different|far|variable	different	0.6180547
same	same	1
standarddeviation		NA
distribution	sample	0.2488885
variable|random	different	0.0874528
95	95	0
subject|participant|participants	subject	0.9450604
mean|samplemean|average	mean	0.6045831
99.7	98.7	0
68	68	0
squared	variable	0.07960542
standarddeviation	variability	0
describes|is|represents	is a	0.3033902
normal	natural	-0.04019824
standarddeviation	standard deviation	0
probability|likelihood|chance	liklihood	0
sample	sample	1
represents|describes|shows	decribes	0
describes|is|represents	[timeout]	-0.07837661
squared	squared	1
probability	probability	1
variable|random	varied	-0.007282938
observation	[timeout]	-0.1081844
sample	distribution	0.2488885
68	68	0
variability	behavior	0.07474238
different|far|variable	different	0.6180547
95	95	0
represents|describes|shows	represents	0.4684053
count	square root	0.003911191
standarderror	variability	0
measure|represent|describe	measure	0.7689974
99.7	99.7	0
subject|participant|participants	subject	0.9450604
range|set	range	0.7634179
rootmeansquarederror	square root error	0
mean|samplemean|average	[timeout]	-0.01016386
2	[timeout]	0
individual|single	[timeout]	-0.04643578
statistic	individual	0.009964174
standarddeviation	[timeout]	0
mean	mean	1
expect	[timeout]	0.06841187
standarderror	[timeout]	0
standarddeviation	individual	0
distribution	range	-0.05833861
variance	standard deviation	0.04290871
sample	sample	1
range	standard deviation	0.1463666
normal	standard	0.02859854
range	range	1
describes|is|represents	describes	0.7441715
mean|samplemean|average	mean	0.6045831
participated	are	-0.01118341
mean	mean	1
range	range	1
distribution	distribution	1
multiple|many	multiple	0.8556041
mean|samplemean|average	mean	0.6045831
variance	variance	1
individual|single	individual	0.8333944
1	2	0
range	range	1
statistic	range	0.01032877
standarddeviation	variance	0
statistic	statistic	1
density	probabilty	0
density	variance	0.03799563
mean|samplemean|average	mean	0.6045831
density	density	1
mean|samplemean|average	mean	0.6045831
variance	variance	1
standarddeviation	standard deviation	0
variance	mean	0.01016356
distribution	density	0.06024716
density	density	1
density	density	1
standarddeviation	standard deviation	0
variability	standard deviation	-0.06004029
density	density	1
samples	deviation	0.2133983
samples	[timeout]	-0.02774676
mean|samplemean|average	mean	0.6045831
samples	samples	1
standarddeviation	variable	0
standarddeviation	standard deviation	0
distribution	variability	0.01659191
mean|samplemean|average	mean	0.6045831
samples	[timeout]	-0.02774676
density	sample	0.2148673
variability	standard deviation	-0.06004029
variance	standard deviation	0.04290871
variance	[timeout]	-0.03662752
standarddeviation	standard deviation	0
likelihood|probability	[timeout]	0.07016187
standarddeviation	standard deviation	0
normal	[timeout]	-0.007178908
standarddeviation	[timeout]	0
normal	standard	0.02859854
normal	normal	1
normal	normal	1
observations	samples	0.04512589
difference	number	-0.0437259
variability	standard deviation	-0.06004029
variable|random	introduced	-0.06561707
variance	normal	-0.05224375
mean|samplemean|average	mean	0.6045831
expect	see	0.1048106
characteristic	variance	-0.0498721
sample	sample	1
observation	mean	0.07500567
standarddeviation	standard deviation	0
observations	observation	0.5227399
measure|represent|describe	measure	0.7689974
normal	normal	1
subject|participant|participants	sample	-0.05426542
normal	normal	1
standarddeviation	standard deviation	0
statistic	characteristic	-0.08826226
mean	mean	1
statistic	range	0.01032877
normal	normal	1
mean|samplemean|average	mean	0.6045831
range|set	set	0.6705973
variance	static	0.06585155
describes|is|represents	variance	0.1397778
normal	normal	1
variable|random	included	-0.01902284
variability	range	0.07581243
standarddeviation	standard deviation	0
normal	normal	1
mean|samplemean|average	mean	0.6045831
statistic	variable	0.1429316
difference	variable	0.02550086
normal	normal	1
standarddeviation	standard deviation	0
observation	variable	-0.01528538
represents|describes|shows	statics	-0.003300996
range|set	set	0.6705973
normal	normal	1
participated	join	-0.08378176
standarddeviation	variablity	0
variable|random	used	0.04330573
characteristic	variable	0.06214532
variability	[timeout]	-0.1216482
variance	[timeout]	-0.03662752
measure|represent|describe	make	0.07496423
normal	standard	0.02859854
sample	[timeout]	0.01504148
measure|represent|describe	[timeout]	-0.04530828
variability	[timeout]	-0.1216482
population	sample	0.1951308
multiple|many	multiple	0.8556041
count	population	0.1036265
equal	50%	0
measure|represent|describe	measure	0.7689974
1|one	[timeout]	0.00668314
count	[timeout]	0.03134056
1|one	1	0
mean	mean	1
statistic	measure	0.05607052
measure|represent|describe	measure	0.7689974
1|one	1	0
mean	mean	1
measure|represent|describe	measure	0.7689974
population	sample	0.1951308
sample	sample	1
sample	sample	1
1|one	1	0
equal	equal	1
population	population	1
1|one	1	0
standarddeviation	mean	0
multiple|many	[timeout]	0.05981871
1|one	1	0
sample	population	0.1951308
observations	samples	0.04512589
1|one	1	0
2	-1	0
observations	[timeout]	-0.119301
3	2	0
density	[timeout]	0.007179775
likelihood|probability	density	0.1443129
multiple|many	observations	0.1248918
range|set	set	0.6705973
population	population	1
99.7	97	0
probability|likelihood|chance	likelihood	0.3508941
mean	mean	1
3	3	0
population	population	1
statistic	[timeout]	-0.02000074
99.7	99.7	0
likelihood|probability	likelihood	0.4928042
observation	observation	1
represents|describes|shows	[timeout]	-0.07480666
likelihood|probability	likelihood	0.4928042
variability	density	0.1085139
population	population	1
standarddeviation	[timeout]	0
multiple|many	[timeout]	0.05981871
density	density	1
squareroot	likelihood	0
normal	[timeout]	-0.007178908
population	population	1
observations	statistics	0.1044004
difference	root	0.01133235
distribution	[timeout]	-0.003612177
observation	distribution	0.07676121
range|set	set	0.6705973
variance	[timeout]	-0.03662752
rootmeansquarederror	[timeout]	0
mean	mean	1
divided	divided	1
observations	observations	1
represent|describe|sample	represent	0.5618359
1	1	0
equal	99.7	0
subject|participant|participants	[timeout]	0.02804829
observation	observation	1
95	99.7	0
3	3	0
statistic	[timeout]	-0.02000074
dividing	dividing	1
observations	[timeout]	-0.119301
statistic	statistic	1
measure|represent|describe	represent	0.3973368
multiple|many	statistics	0.004354962
observations	observations	1
1	2	0
variable|random	[timeout]	0.08665657
observation	sample	0.07037972
equal	equal	1
3	3	0
divided	divided	1
variance	[timeout]	-0.03662752
range	[timeout]	0.003927464
difference	root	0.01133235
represents|describes|shows	represents	0.4684053
rootmeansquarederror	root plus squared	0
involves|uses|includes|observes	represents	0.159271
mean	mean	1
multiple|many	[timeout]	0.05981871
likelihood|probability	likelihood	0.4928042
describes|is|represents	represents	0.6913312
measure|represent|describe	represent	0.3973368
dividing	dividing	1
variable|random	variable	0.9121205
3	1	0
measure|represent|describe	represent	0.3973368
mean	mean	1
difference	difference	1
normal	[timeout]	-0.007178908
sum	sum	1
rootmeansquarederror	[timeout]	0
observation	observation	1
observations	variability	0.1464305
1	1	0
equal	equal	1
multiple|many	multiple	0.8556041
statistic	representation	0.1134836
observations	observations	1
sample	[timeout]	0.01504148
characteristic	[timeout]	-0.05124748
variance	[timeout]	-0.03662752
standarddeviation	[timeout]	0
samples		NA
divided	dividing	0.2106339
variability		NA
statistic	variable	0.1429316
statistic	statistic	1
units	variable	0.05840188
normal	probability	0.04080481
normal	normal	1
standarddeviation	variability	0
samples	samples	1
subject|participant|participants	being	0.07460973
normal	normal	1
statistic	unit	0.03421596
standarddeviation	deviation	0
statistic	statistic	1
mean|samplemean|average	sum	0.1187476
standarddeviation	standard deviation	0
units	sample	0.01860789
statistic	statistic	1
normal	standard	0.02859854
statistic	statistic	1
mean|samplemean|average	mean	0.6045831
variance	mean	0.01016356
units	units	1
units	units	1
sample	sample	1
statistic	statistic	1
sum	sum	1
statistic	statistic	1
samples	sample	0.5131983
density	variance	0.03799563
sum	sum	1
units	units	1
normal	standard	0.02859854
normal	normal	1
samplemean|mean	mean	1
represents|describes|shows	[timeout]	-0.07480666
count	sum	-0.01366364
expect		NA
likelihood|probability	expectation	0.0412985
units	units	1
probability|likelihood|chance	likelihood	0.3508941
subject|participant|participants		NA
expect	expect	1
observation	sample	0.07037972
99.7	68	0
range	range	1
represents|describes|shows		NA
units	units	1
rootmeansquarederror	density	0
statistic	mean	0.07658154
likelihood|probability	density	0.1443129
rootmeansquarederror	root	0
sum	sum	1
normal	normal	1
units	units	1
statistic		NA
mean|samplemean|average	range	0.1842336
normal	normal	1
1|one		NA
variable|random	varied	-0.007282938
normal	normal	1
standarddeviation		NA
expect	expect	1
variability	variance	0.09235277
symmetric		NA
variance	variable	0.3099827
observations	numbers	-0.04742211
units	units	1
standarddeviation	variability	0
sample	subject	-0.05842095
range	mean	0.04283211
characteristic	variance	-0.0498721
density	variability	0.1085139
mean|samplemean|average	mean	0.6045831
observations		NA
normal	normal	1
units	units	1
3	3	0
represent|describe|sample	sample	0.662027
normal	normal	1
standarddeviation	deviation	0
normal	normal	1
probability	deviation	0.1235101
standarddeviation	standard deviation	0
characteristic	variance	-0.0498721
mean|samplemean|average	mean	0.6045831
variability	deviation	-0.07206514
dividing	adding	-0.04662541
observations	deviation	0.09633775
sample	subject	-0.05842095
density	standard	0.05455568
expect		NA
observations	numbers	-0.04742211
variance	range	0.006271204
symmetric		NA
standarddeviation	standard deviation	0
standarddeviation		NA
normal	normal	1
statistic	observation	0.05970104
density	density	1
characteristic	variance	-0.0498721
units	unites	0.1599625
likelihood|probability		NA
variance	variance	1
1|one	dividing	0.05402502
99.7	99	0
normal	normal	1
statistic	statistic	1
variability	density	0.1085139
mean|samplemean|average	mean	0.6045831
population	sample	0.1951308
participated	participate	0.2836498
standarddeviation	statistics	0
variance	mean	0.01016356
involves|uses|includes|observes	[timeout]	-0.07577596
normal	point	-0.0008395512
variance	example	0.104035
distribution	prediction	0.0902702
variance	variance	1
units	variance	0.03042916
samples	units	0.05665969
involves|uses|includes|observes	involves	0.6161347
involves|uses|includes|observes	involves	0.6161347
observation	[timeout]	-0.1081844
samples	units	0.05665969
involves|uses|includes|observes	involves	0.6161347
variance	[timeout]	-0.03662752
standarddeviation	standard deviation	0
normal	standard	0.02859854
units	units	1
units	units	1
standarddeviation	standard deviation	0
normal	samples	0.08511277
involves|uses|includes|observes	involves	0.6161347
normal	normal	1
distribution	variance	0.1301108
variance	variance	1
involves|uses|includes|observes	involves	0.6161347
squared	standard	0.06013192
observation	units	0.04816836
involves|uses|includes|observes	involves	0.6161347
involves|uses|includes|observes	invloves	0
normal	normal	1
standarddeviation	standard deviation	0
variance	unit	0.06488631
normal	normal	1
distribution	variance	0.1301108
mean	mean	1
variability	standard deviation	-0.06004029
expect	sample	0.06062667
statistic	variance	0.2755168
different|far|variable	[timeout]	0.05748892
variance	variance	1
normal	normal	1
sum	variance	0.1221402
range|set	unit	-0.03042317
rootmeansquarederror	mean	0
statistic	statistic	1
characteristic	characteristic	1
distribution	prediction	0.0902702
mean|samplemean|average	variance	0.02989781
normal	normal	1
mean	root squred mean	0.674894
normal	standard	0.02859854
range	range	1
expect	find	-0.0003544023
mean	mean	1
variance	variance	1
normal	normal	1
variability	variability	1
probability|likelihood|chance	expectation	0.0681803
variability	variability	1
variance	mean	0.01016356
variance	variance	1
normal	normal	1
count	sum	-0.01366364
probability	[timeout]	0.1245291
variability	variability	1
standarddeviation	probability	0
sample	involves	0.09864503
dividing	deviation	0.07223274
range|set	variable	0.1136725
population	[timeout]	-0.03986163
normal	normal	1
samplemean|mean	mean	1
standarddeviation	standard deviation	0
units	variance	0.03042916
describes|is|represents	is	0.3004219
density	variance	0.03799563
99.7	98	0
observations	units	0.07269222
3	3	0
standarddeviation	standard deviation	0
dividing	[timeout]	-0.06684689
standarddeviation	mean	0
sample	population	0.1951308
variance	distribution	0.1301108
variability	standard deviation	-0.06004029
sample	unit	0.02348862
observations	variance	0.07152727
density	variance	0.03799563
samplemean|mean	mean	1
count	sum	-0.01366364
probability	product	-0.01423813
units	variance	0.03042916
variable|random	counted	0.0830144
observations	units	0.07269222
normal	normal	1
normal	normal	1
normal	normal	1
observations	variability	0.1464305
variance	variance	1
normal	normal	1
statistic	[timeout]	-0.02000074
standarddeviation	mean	0
3	3	0
sample	sample	1
symmetric	mean	0.05854291
standarddeviation	standard distribution	0
density	variable	0.05984505
variable|random	variable	0.9121205
samplemean|mean	mean	1
characteristic	unit	0.01168311
count	sum	-0.01366364
units	units	1
sample	statistic	0.1564132
variability	standard deviation	-0.06004029
observations	numbers	-0.04742211
1	[timeout]	0
range|set	set	0.6705973
count	total	0.1454826
2	1	0
2	2	0
3	3	0
1	1	0
1	1	0
observation	interger	0
observation	observation	1
range|set		NA
1|one	count	0.0947025
1	1	0
3	3	0
2	2	0
sum	sum	1
1	1	0
range|set	range	0.7634179
sample	number	0.09094838
sample	sample	1
