text,score1,score2,class
"'The author concludes the story with this paragraph because the story started out by Saeng failing the test, going out and buying a plant to comfort her and confessing to her mom. The plant related to her by the memories of her homeland and when she failed that test she felt very depressed and sad. She cried to show her pain, and bought a plant to cheer her up. As she told her mom she felt the pain again but, her mother made her favorite food and helped her plant the plant. She knew that it wasn’t like the old plant but, it was the thought and memories she knew that she couldn’t just give up, so when it came the right time she was going to try the test again. It relates because it helps the readers understand the story a little better and shows that she wasn’t going to just quit. Her mother was very understanding and when she goes to retake the test she will be prepared. That is how it relates back to the story.'",x2,x2,x2,8873
"I think he concluded the story with paragraph cause then do thing in the story and the report it so when the geese left they will come back and leave again so that what I think I take the test again means.",x0,x0,x0,8874
"The author concludes the story with this paragraph because when every thing starts coming back she will take the test. That is why the author concludes the story with this parigraph",x1,x1,x1,8875
"'The author concludes the story with this paragraph to show a sense of determination that Saeng posesses. When Saeng comes back and shows her mother the hibiscus plant, she is very upset, with tears in her eyes.Her mother at first is disappointed in her for buying the plant, but is then understanding when she realizes that Saeng was distraught. The mother offers to help Saeng plant the hibiscus, which comforts Saeng a little bit, helping her gain the determination she needs to recover. The story says “Almost reluctantly, she realized that many of the things that she had thought of as strange before had become, through the quiet repetition of season upon season, almost familiar to her now.” This quote states that Saeng realizes that things at home can be the same as things in her new country. The author uses the term “familiar” to express that Saeng is starting to accept the fact that some things may be different, but she will eventually get used to it, making her view on life more positive.  '",x2,x2,x2,8876
"Why the author concludes the story with this paragraph is because in the paragraph there is a lot said that is the main part of this story. For example all the names and talks about the seasons and there comparisions and differences and it talks abouts different buddings like when you get your mids your nuggets and headies of the plant. Because hibiscus is a new form of some nice Herb.",x0,x0,x0,8877
"He states this as the conclusion because it shows the faith that she has in the flower and how it will bring her luck for her up coming test. She feels like the familiar flower is out of place as she is and they can relate to somethings.",x1,x1,x1,8878
"'I believe the author concludes the story with Saeng because it shows when she is reminded of home. I believe she thought she could pass the test when the flower was blooming and reminded her of home. For example, Saeng mumbled, “Not like the kind we had before.” This suggest to me that she was probably home sick. Then when spring comes and it blooms the flower could give her the strength to pass the test. This is why I believe the author ended with this paragraph.'",x2,x1,x2,8879
"The arthur uses it because Saeng got confidence back from planting the hibiscus and everything that happened that year. So now shes ready and that’s what the arthur wanted the reader to figure out.",x1,x1,x1,8880
"'the author concludes the story this way because Saeng failed the test, the hibiscus comforts her, and she feels she is similar to the geese. For example, Saeng says “I-I failed the test.” She has admitted to failing the test and is upset about it and wants to “take that test again.'' Also, Saeng says,'' And that rich sweet scent- that was familiar, too, “while describing the hibiscus. The familiarity of the plant comforts her and will allow her to build up the courage to “take the test again.” Finally, at one point Saeng thinks to herself, ''the quiet repetition of season opon season, almost familiar to her now. Like the geese.” Saeng feels similar to the geese in this way and this allows her to decide to take the test “ when the snow melts and the geese return.” The author concludes the story strongly, describing how Saeng failed the test, how the hibiscus comforts her and she feels similar to the geese.'",x2,x3,x3,8881
"I think the author ends the story with this paragraph because she will be reminded of her homeland and going home. The reason I say that is because the geese are returning home and she wants to. Also the hibiscus will be budding in the wild just like back home",x1,x1,x1,8882
"'I think that the author concludes the story with this paragraph by teaching Saeng how to be confident and vow silently, In order to teach her more lessons because of the fact she failed the test in the middle of the passage Saeng tells her mother that when the snow is gone in the spring time she will retake the test that she failed. Her mother was very upset when she found out that Saeng failed the test the first time.'",x1,x1,x1,8883
"They probably ended it like that to build suspense of leave the reader on a good note because someone may think things are going to get better for them and Saeng may get her license. They may get more money.",x1,x1,x1,8884
"' In” Winter Hibiscus,” by Minfong Ho, the main character, saeng , undergos many obstacles as she tries to adapt to her new country , which is very different from her home. The author chooses to end the story, as,” When they come back, saeng vowed silently to herself, in the spring when the snow melt and the geese return and this hibiscus is budding , then I will take that test again.” Perhaps the author meant to end the story in this fashion to ensure the reader that saeng has found new hope , which symbolized by the hibiscus flower.Now along with  budding  new hope, the flower also carries a sentimental value ,about her home .Sometimes ,the best way to overcome your obstacles is to embrace them, as she did in the greenhouse ,then   that leaves room to start anew.'",x2,x3,x3,8885
"The author concludes the story with this paragraph to snow that just because you fail once you  shouldn’t give up.  From  what  was  expressed  it  the  paragraph it  was  implied to me that Saeng  will become  stronger by spring and be able to pass the test .",x1,x1,x1,8886
"'The author concludes this story with this paragraph because all things have routins and things they have to do to survive. The geese fly South for the warm months so they don’t die from the cold. The flower dies in the winter is brought back to life in the spring. This pertains to Saeng because when the geese and the flowr come back she will take the test of trying to fit in, in her new country, That is why the auther chose this to end the story.'",x2,x1,x2,8887
"'In the story, “Winter Hibiscus”, the author ends with the last specified paragraph, “When they came back…then I will take that test again.” because it leaves many un-answered questions the reader might have. The reader then might want to read her next piece of work. Basically, the last paragraph drows attention to the reader. many of the unanswered questions revolve around, “I failed the test.”. We also do not know “her gentle grandmother”, “mrs.Lambert”, and “home”. Another reason the author might end the story with that paragraph is to have a effect on the reader. The reader is left to only assume and imagine what things are to come. Will she pass the test? Will she go home? What will happen? All we know is, ”when the snow melts, and the geese return and the hibiscus is budding, then I will take the test again.” most likely the author ended the story with the paragraph for dramatic effect for the reader. This is why, I believe the author of “Winter Hibiscus” ended with the specified paragraph.'",x1,x2,x2,8888
"'I think that she ended the story like that because it means that she is getting used to all the seasons. “In the spring when the snow melts and the geese return and this hisbiiscus is budding, then I will take the test again.” She will and take the test once its not cold anymore so she will wait until the geese come again which will be spring by then. I think that she is also trying to say that when the snow melts and the geese are there again she will have taken the test and pass it. This is I think she ended it like this because how they mean something to her.'",x1,x1,x1,8889
"'The author concludes the story with this paragraph because it shows how everything is changing and adapting to the change. Saeng decides that with this change, she can also adapt to her new life by going back and passing the drivers test. The hibiscus also represents how something also from her homeland has come to america and must now survive. When it begins to bud, Saeng will begin to start adapting to america by passing her drivers test. It’s all about trying to become accustomed to changes. When Saeng feels bad for failing, that’s why something from her past is such a comfort to her.'",x2,x2,x2,8890
"'By ending the story with the idea of retaking a test in the spring, the author sets a feeling of starting fresh and perservering . for example , when the author says” when the snow melts and the geese return and the hibiscus is budding ,”she show the idea of starting a fresh new life in the spring by returning to their home and the hibiscus is starting fresh by  budding again. This is why spring is when saeng wants to start fresh and retake the test. The paragraph also shows that saeng, like the hibiscus, is perservering. The hibiscus is perservering by making it through the winter and blooming again while saeng   is perservering by retaking the test. The author ends with this paragraph to show that saeng is not going to give up. '",x3,x3,x3,8891
"'The author concluded the story with that specific paragraph because Saeng feels most comfortable taking the test again when what she explained happens. Saeng misses where she came from alot. She promised herself that she would take the test again when that happens. With Saeng saying that it makes you wonder why she wont take the test again the snow melts, the geese return and the hibiscus is budding. It makes her feel really comfortable when that does happen.'",x1,x1,x1,8892
"The concluding paragraph explains her next goal. She had to take a test but failed it. Paid over nineteen dollars for the plant. It reminded her of her old home. She will have confident in the spring because the plant grew to its new home so she will grow to her new home also.",x2,x2,x2,8893
"'The author concludes the story with his par paragraph because. She will take the test in the spring and she will do her best. She said “I-I failed the test,” Saeng said. By failing a test. doesn’t mean. that its not end of everthing. She will have more confidence next time she take the test.'",x1,x1,x1,8894
"'The author concludes the story, “winter hibiscus,” with this paragraph of the story, for several relevant reasons. By concluding the story, in this way it shows Saeng’s growth, and more willingness to strive, and do her best. When she says she will take the test again, it shows her gain of confidence, and her beginning to gain comfort in the place that is not her home country. She is now striving and working toward doing her best to become successful. And she is making the very best of the given situation. The author is trying to give more depth and meaning to the study in this way. Saeng went from being nervous and worried when saying, “I-I failed the test,” to now setting a goal for herself to take it again, the time the bud blooms next year. Basically, the author did a full circle, by ending the story in this way. From speaking of the test, to sharing the flower experience with her mother, to state that she will re-take the test, next year. '",x3,x2,x3,8895
"'The auther concludes with that paragraph because. it shows that despite her sorrow and discomfort, Saeng is able to remain hopeful. In the story, Saeng sees a hibiscus which makes her very homesick for her native country of Vietnam. The reader also leans that she failed a test and feels at of place. However, the hibiscus symbolizes hope and comfort. The auther chooses to conclude with that paragraph because despite Saeng’s hardships, the hibiscus helps her realize that she can overcome he obstacles and be hopeful of the future.'",x2,x2,x2,8896
"'The author concludes the story with this paragraph because when saeng and her mother go back to there home where the flowers were more beautiful than the flowers where there living now. She wants to plant flowers that’s going to remind her of her home. In the story saeng mother said that it’s flowers aren’t as pretty, but it’s strong enough to make it through the cold months here this winter hibiscus her mother wanted her to know that the only thing that maths is that the plant can last threw winter.'",x1,x1,x1,8897
"'The author concludes the story with this paragraph because the author wanted to show just cause saeng failed that test don’t mean she giving up. she said when the snows melt and the geese return and this hibiscus is budding, then she will take it again. what the author means that right now she has failed but over time she can study and learn more to get ready to re take it. And by the time she ready to take the test the snow with have went away every should be hot out the birds come back and the flower is growing fine. she  will take it. And how author ended it lets us know she going to take it but how he use the words let us know that she will not only take it but pass it too.'",x2,x1,x2,8898
"'The author concludes the story with that because the hibiscus started budding and she’s happy now. So she’s saying after the geese come back and the snow melt, she’s to do all over again.'",x0,x0,x0,8899
"The reason the author of the story “Winter hibiscus” ends it the way she does is so that we know we can never give up. She fails her driving test the first time and me being less than a year from taking the test myself and no matter how many time I fail the test I will never give up. We need to preserve through every problem we go through in life. If we don’t and we just give up we will never get anything done in life. She vows in the spring and when the hibiscus is budding she will take the test again. I hope I pass my driving test the first time just like I did the learner’s permit test. Also you can’t give up on anything at all even something small like working if you stop working you will loose your job. Never give up.",x1,x2,x2,8900
"the author added that sentence to the story to show how much Saeng cared about the snow and the plants. She says that she much rather do gardening then school work. She loves planting new things.",x0,x0,x0,8901
"'The reason why the  author concludes the story with that paragraph is because it shows that saeng is starting to expect the new place she is in. Throughout  the story it says how she feels out of place just like the “ winter hibiscus”. Then later in the story she says how ,”many of the things that she thought of as strange before had become , through quite repetition of season upon season, almost familiar to her now .” That quote means that most things she thought of as strange she is now getting used to slowly, which means is adapting. So, the reason why she says the last paragraph is to show that when everything changes back to spring the geese come back, and the hibiscus is budding ,”then she will take that test again.”therefore  the author puts the conclusion on the story because it shows how  she will adapt as well as the hibiscus.  '",x3,x2,x3,8902
"'The writer leaves the reader with a sense of hope for the future by concluding with this paragraph. Even though the narrator buys the plant in sadness, after she fails her driving test and is missing her home, it is still a symbol of hope. She means that when the flower is blooming, her hope will be also and she will try again, maybe this time with success. Right now she may be sad and scary, but she knows that things will work out, and she will be fine. She is finally settling into her new life and says that “many of the things she had thought of as strange before had become almost familiar to her now.” She means that even though she misses her homeland so much, she is slowly getting used to her new home, and her new life. And maybe by the spring she will be happy and comfortable here, comfortable enough to try her driving test again. The hibiscus represents both the longing for the past and the hope for the future.'",x3,x2,x3,8903
"'I think the author concludes the story with this paragraph because it shows that saeng is most comfortable when she is surrounded by things from her homeland. She thinks she will be ready to take the test when she sees the ducks again, and when the hibiscus begins to bud. Narrator says ‘’A saebya ledges tall and high, had surrounded their garden…’’ which is evidence that Saeng had hibiscus in Vietnam, and the story of the well reminds her of it. The narrator also says,’’ Overhead, a flock of Canadian geese, their faint looks clear and -yes-familiar to Saeng now,’’ Which proves that the geese symbolize Saengs home also.     '",x2,x2,x2,8904
"'I belive the author concludes with that quote for an assortment of reasons. One is to show that the charecter isn’t just going to give up, that her failing wasn’t the end for her. This shows sorting like morale of never giving up. It feels as the character is referring to the hibiscus as sensely. “The hibiscus will be budding”   which means that she herself will branch out and learn more. By the spring time she would have learned enough and experienced enough to try to pass the test again. The hibiscus also reminds her of her home. When she will look at it she will find the courage to pull through and to face her challenges like her test.The ending quotealso wraps up the story.It also shows the charecters will of not giving up and to always try.'",x2,x2,x2,8905
"'The author uses this concluding paragraph to draw the whole story together. She speaks of the driving test, geese, and the hibiscus plant three subjects found in the story. when she says ''when the snow melts and the geese return'', she is referring to the geese mentioned when she says ''She lifted her head and watched as their distinctive V was etched against the evening sky''. She went through a change, much like the geese do every winter. She realizes ''that many of the things that she had thought of as strange befere had become...familiar to her now''. We all have to go through changes, Saeng just had a bigger one. '",x1,x2,x2,8906
"The author concludes the story with this paragraph because the author wrote the same thing that it had in the paragraph and he wrote it in his story but added a little more details to it and problems and things.",x0,x0,x0,8907
"The author concludes the story with this paragraph to show how Saeng is respectful and how her feelings miss her homeland. First example when “Saeng vowed silently to herself” it shows how she respect and miss her homeland. It tells that she want to try again about her failure in the past. The last example when she want to overcome her failure in the past. The last line of the paragraph say “then I will take that test again”. It says she want another. Chance on her life. These are the example of the author concludes the story with this paragraph.",x1,x1,x1,8908
"'The author had concluded this story with this paragraph to make it as if they were on a clean slate like they had started over. So the past no longer haunts them. Saeng sounds as if she has a bit of relief after she takes her mom the plate. I believe that she feels better because at the end of the paragraph she sounds sure of herself. She sounds certain she sounds as if she want to start over because she says ''when the snows melt and the geese return and this hibiscus is budding, then I will take that test again”. To me she sounds like a brand new person. Who has forgotten about the past.'",x1,x2,x2,8909
"The author ends the story with this paragraph because the plant is noticed when she is coming home after felling the driving test. So she says when everything is right. She will take the test again. The driving test not important to her she won’t pas it though so she wants to go take it again when the plant she bought is budding and at its best point.",x1,x1,x1,8910
"'The author concludes the story with this paragraph because it shows how much Saeng has grow because of this experience, and how determined she is. This last paragraph afters a sudden happy ending to a rather sad story, but gives the reader role knowing the mom character is confident enough to try again. The whole story was filled with sadness about Saeng’s family having to move to a new country and start all over. However, the one thing that acts as an escape for them, is their gardening. In Vietnam, they seemed to have a nice garden and enjoyed having with it very much. Now that their in America, their garden and the plants in it remind them of that homeland, and how there life used to be. Although saddened by not passing her driving test, Saeng finds a plant that makes her happy and seems to rejuvinate her how of passing the test. The final paragraph seals the deal, as it shows that she is again confident in herself because of the happy memories that she is thinking about.'",x3,x2,x3,8911
"'The author used the last paragraph because the hibiscus is a symbol for saeng. It shows that she will be ready when spring comes. When the plant is ready to bud, she will have faith about taking the test. She'll probably want to take care of the plant before she takes the test. When the plant bads, saeng won’t have to take care of it anymore.'",x1,x1,x1,8912
"'I think the author concludes the story with the paragraph because Saeng is saying when the good time came back around she will try for the test again because She had failed it. for example on page 44 at the top She '' I-I falled the test'' thats why i think the author concludes this with the Story because it was important to Saeng to past the test in the good time of season Spring. '",x1,x1,x1,8913
"'“Winter Hibiscus “is about a girl saeng, who moved from Vietnam to the USA. After she fails her driver’s test. She walks home and finds a hibiscus. “She closed her eyes and breathed in, deeply. The familiar fragrance filled her lungs, and saeng could almost feel the light strands of her grandmother’s long gray hair…” She goes to a flower shop to see if it can be purchased. She pays a lot of money for the plant because it is rare and valuable. It is special to her because she used to have hibiscus plants in Vietnam. She brings the plant home & tells her mom that it reminds her of Vietnam. The mom says that it reminds her of Vietnam too. The mom is not happy with how much saeng paid for it. She plants it in her garden.” When the hibiscus was lowered in the ground, a flock of geese flew by.”When the hibiscus returns in the spring,  saeng will take her driver’s test again. In the spring, all the flowers start to bud and bloom. Everything is new again. saeng will have a new chance to pass her test.'",x2,x2,x2,8914
"'I think that the included that because she is compareing her slef as a flower. When she grows again like a flower she will go prove to past that test. She’s saying there always a second chance. She want to tell everyone that it’s to miss or a misake. For an example “they said there were many of things that she had thought of strangely, season up seson.'",x2,x1,x2,8915
"'The author concludes the story like that because she wants every body to know how she feels about the hibiscus. She felt like the hibiscus was a wondeful plant. She described it as ''smooth and cool toward the end of the first page. When she first the plant back in Vietnam she thought that is just grew wildly. Then when she saw it in the United States she was suprised that it grew in a pot. For example she desribed the the smell of the hibiscus as a ''sweet scent.” Therefore, this why she is concluded the story like this; because of how felt about the plant.'",x0,x0,x0,8916
"The author concludes the story with that statement because it shows Saeng passion for gardening. How she’s willing to take the test is to see if her plants can grow when spring comes around and the hibiscus starts to bud she will attempt to grow it which shows how anxious Saeng is for gardening and to try and get the hibiscus to grow during the spring.",x0,x0,x0,8917
"The author concludes the story with this to mean that when everything is back to normal and beautiful that when Saeng will take the test. She did this to show that Saeng is a spring person and that she likes working in the garden in the spring. Also it means that Saeng feels that she does better in school during the spring time.The author concludes the story with this to mean that when everything is back to normal and beautiful that when Saeng will take the test. She did this to show that Saeng is a spring person and that she likes working in the garden in the spring. Also it means that Saeng feels that she does better in school during the spring time.",x1,x1,x1,8918
"'Change and disappointment are enough to over-come. Some people have an arid fear of change. For Saeng the main character from “winter Hibiscus,” change comes in the form of a move to America. Everything around her is different and new. Coupled with disappointment of failing her driver's exam, the feeling of living helpless overwhelms her. After buying a winter hibiscus plant, she vows to take the test again when it blooms in the spring. The resiliance of the winter flower and the memories it represents inspire seng to try again.'",x2,x3,x3,8919
"I think the author wanted to express Saeng when she took a vowed and to express the way he felt. When the statement was made that also I think it was to make readers feel interest in it but mainly to help understand.",x0,x0,x0,8920
"'For shadowing, future reference, continus behavoir-all are reasons why that is the last paragraph. Well they are for shadowing because they are telling you something that she says she is going to do in the future. She is telling you what she plants to do in the future so she refrencing from what she plans to do in the future she is keeping the behavior from before up so she says she will something again next year so that is why I said continus behavior. She said ‘’when they come back,Saeng vowed silently to herself in the spring, when the shows melt and the geese return and this  hibiscus is buddin, then I will take that test again. So For shadowing, future, reference, continus behaviors are very good reasons why I thing that what she says is good and those three things best describe what she said and what she said that snow as going to do next year.     '",x1,x2,x2,8921
"'I believe that the author concludes the story like this to show a sense of continuation in life. In the story Saeng takes a “test” and fails. She goes out and buys a hibiscus plant for well over what she what she should have paid for it. Her test is to try to get over the memories of her real “home” that Saeng is now only cries about when she thinks of it. To Saeng the plant represents memories and a life that she once had, but no longer does, however does want it back. Her vowe to herself is that when the geese come flying back over her that she will go back to the greenhouse that reminds her so much of her home and try once again to say “home” without breaking down, and without having something extremely expensive.'",x2,x2,x2,8922
"'In 'Winter hibiscus' by Minforg Ho, the narrator never clearly indicates what test Saeng has failed. However, through subject matter and word choice it is clear that the test is not only important to Saeng and her mother, but also to her new life in America. Throughout the story saeng's longing for her homeland is over powering. The flood of memories that came back to her when she purchases the hibiscus, are obviously painful and part of her everyday life. Saeng is working is working hard to keep her memories of Vietnam alive, while knowing that she must learn to live the American customs and lifestyle. There are somethings she dosent need to change, like passing the test. Saeng realizes that she can use these memories to keep her spirits alive, she can use them as motivation. This is why the last sentance of the story is so impowering, because she has learned to use the 2 things together memory and change, ”when [] this hibiscus is budding I will take that test again”     '",x3,x2,x3,8923
"'The author chose to conclude the story with that paragraph to show that the girl had adapted to her new country. Saeng missed her home. It was hard for her to say her country’s home without crying. ''It’s not like the wind we had at-at-.'' She also spent nine-teen dollars on a plant because it remind her of back at home. One could inter she adapted because she was familiar with the season change and it states when the geese return she is going to take the test again.'",x1,x2,x2,8924
"'The author concludes the story with that paragraph because it makes Saeng feel more at home. For example it say, “the snow melt, and the geese return and the hibiscus is budding, then I will take the test again. “I think the author says this because all the thing in that sentence remind her of home. For example the plant the geese are things she had at home, so when winter is over she will feel better and take the test.  '",x1,x1,x1,8925
"The reason why the author ended with Saeng vowed iS because she is very commited. She failed the first time but know she really want to pass it so she is waiting until the snow melt and Ne geese return and this hibiscus is buddin Nen she will come back",x1,x1,x1,8926
"I think that the author concluded the story like that because of who throw out the whole Story the plot was in the winter. She might wanted to try it in a different season to see if she might to better with the whot setvation. That is why I think the author concluded the story like that.  ",x0,x0,x0,8927
"'I think the author finish the story with this paragraph for the following reasons. Saeng really means she will take the test in spring. I say that because she says when the snow melt and geese return meaning next spring she will take the test again. She is saying with confidence because she started to add more. For example, she added “hibiscus is budding.” Saeng is determined to past the test just by what she is saying. This is why it was the last paragraph and what she meant by it.'",x1,x1,x1,8928
"'The author concludes the story with in the spring when the snows melts and the geese return and this hibiscus is  budding then I will take that test again, because she is saying there will be a new year. For example he failed it the first time she will wait until she tries again. Another example she just want to try until she get her driving license.'",x1,x1,x1,8929
"In this story Saeng shows her mother how pasionate she is with planting and her pasionate for plants. The author includes the paragraph in the story so that it can show how the charact Saeng feels about her planting. One reason why this shows that she has passion for planting is because it says “I will try this test again” meaning that if she is doing something that she enjoys doing then she will try it again and again until she is fully pleased.",x0,x0,x0,8930
"'The authors concludes that in the paragraph. I think he concluded that in these because it shows alot of confidence about her. For example when she said, “then I will take that test again”. It sounded very confident and made it where she can want to try if she or he fails the first time.'",x2,x3,x3,8931
"The author concludes the story with this paragraph to show that she has not given up on her dreams.",x1,x1,x1,8932
"'Hope, a new beginning, adjustment-all are reasons why the speaker concludes by saying “when they come back, in the spring, when the snow melt and the geese return and this hibiscus is budding, then I will take that test again” That hibiscus flower gives that girl hope because it remind her of her grandmother and back home, how wonderful things were back there, and by the flower blooming, she realize it could wear out there too. She’ll also have a new beging in the spring, by spring she should adjust to her surrounding and have new friends, things to do, and new memories to look back on, that looking backabout flawall won't be as bad the flower will bring her hope and comfort with her adjustment.'",x2,x2,x2,8933
"The author is saying that she’s not doing nothing intell it is a nice day outside. Also she want it to be not that cold but not that not for she can come out and play with her children. Then she said she will take her test again for a nice day outside for her.",x1,x1,x1,8934
"'The author ends the story with this conclusion to show that Shaeng is very passionate about connecting her life in the United States, to how life was in Vietnam and bringing them together somehow. In the story, Shaeng talks about how she misses home and how she is still trying to adapt to her new life away from the home she knew, when saeng says that she has failed the test and wants to take it again, she means that she wants to show that she can survive in the United States without disappointing her mother. When saeng spent 19 dollars on a plant, her mom was in disbelief because Saeng knows how hard it is to survive. When the conclusion says,”I will take the test again,” it shows that Saeng is willing try to make it in the United States from Vietnam, proving that she can make a better life for herself and her family by working hard. While still keeping trditions in Vietnam alive. Saeng simply wanted to make her new home feel like Vietnam by buying a plant she knew her mother would like.'",x2,x2,x2,8935
"'The author might have concluded this story because it like a downfall. Which mean like right now he’s at the bottom and got to make it to the top. He is going to start over and take the test again, but thes time he is not going to fail.'",x1,x1,x1,8936
"'The author had concluded her paragraph like this for emotion. This last paragraph gives emotion to know she can’t garden do to winter. In the winter time all of her plants die for the season. 'The, author is just saying saeng is coming back. After the snow, frosts and cold weather is gone Saeng will come next season so she can continue with her gardening, plants and soil. As said “I will take the test again'' saeng.  Meaning saeng will come back and take the test of effort with her gardening and her mother next time/ next season when her starts to grow again.'",x1,x1,x1,8937
"I think that the author concludes which paragraph as his ending because thats what that is what the girl is going to be doing for the following year that is going to pass and still be with her mother helping her out in the garden. Without no friends just let in her mom",x1,x1,x1,8938
"'The author ends the story with this paragraph to show how Saeng has found from hibiscus plant. Like the  plant Saeng is going to overcome an obstacle. She will try the driving test again and the plant will overcome. The harsh   ,blutal winter months. The plant will bloom in the spring and show its restrency during adversity. Saeng   will also overcome the  adversity  she faced when failed her driving test and realizing how much she missed her homeland. Saeng too, in a sense will bloom in the spring. The winter, representing her despise  and homesickness, will not present her from living happly and taking the test over.The hibiscus reminds her of the. The story ends with the paragraph to show how the “ Winter Hibiscus” has taught her something about overcoming obstacles.'",x3,x2,x3,8939
"'The author concludes the story with this paragraph because it shows that saeng is going to accept her new home and reconize the similarities from her old home and hold memories close to help her overcome obstacles that she is facing in life. ''I've seen this kind blooming along the lake. It's flowers arn't as pretty, but it`s strong enough to make it through the cold months here, this winter hibiscus. That's what matters.” This sets similarities from their old home to their new home. This shows that things do change but they are also the same. This leads to the conclusion because this is where Saeng relizes that she will always have the memories of her old home and will use them to help her overcome the troubles shes going through.  '",x2,x2,x2,8940
"'The author ends the story the way she did to show how Saeng and the hibiscus plant are a like and how Saeng will overcome her obstacle when the plant overcomes its obstacle. Saeng’s obstacle is adjusting to her new life and the first step in that is passing her driver’s test. The reader knows she has to pass because Saeng tells her mother , “I-I failed the test”[No.44]. The hibiscus must make it through the winter, it also has to adjust to new surrounding to survive, just like Saeng. The mother says to Saeng,”… but its strong enough to make it through the cold month here, this winter hibiscus.Thats what matter “[No.44]. So,if the winter hibiscus’ job, or hurdle that it has to jump,it to make it, to stay alive during the winter months, then its job will be done in the spring. The author ends the story with Saeng telling herself, “… in the spring, when the snows melt and the geese return and this hibiscus is budding, then I will take that test again”[No.44]. If Saeng’s obstacle is completing, and passing the driver’s test, and she passes in the spring, right as the hibiscus passes it’s “test” , the symbolism between the two, showing a determined spirits to adopt, will grow deeper because that will adopt and pass their obstacle at the same time.'",x3,x3,x3,8941
"I think that the story came back to this because that is what the story starts off with. It all started with Saeng going to take a test but she did not pass it. So when the weather is better she would have a batter time trying to pass that test. This is way I think she came back that the test.",x1,x1,x1,8942
"The reason why the author concludes the story this way is because she wanted to leave the reader in suspence : wanting more. You can tell because it never really says what the test is. She wanted you to try and guess what the test is. When Saeng walked up to her mother she had told her that she failed the test.",x1,x1,x1,8943
"'The author ends the story with that paragraph, to give an unsight on the next story. I think there will be another story because there are clue to support my theory. Just at the beginning of the paragraph at just when they come back. Then at the end at stay ''then I will take the test again. I dint stay happily ever after at anything similar its that at just stated those personally changes mentioned. So I think what the author will write another story so we could see if Saeng will pass her test.   '",x1,x1,x1,8944
