Gender,Age,State,Vote,text,,,,
male,74,Florida,Positive,I THINK WE ARE IN A FIRST-WORLD COUNTRY THAT SHOULD HAVE HEALTHCARE INSURANCE. I AM FORTUNATE TO HAVE INSURANCE BUT I DON'T KNOW HOW OTHER PEOPLE MAKE IT WHO DO NOT HAVE INSURANCE. MEDICARE DOESN'T COVER EVERYTHING. MEDICARE ONLY PAYS 80 PERCENT AND SOMEONE HAS TO PAY THE DIFFERENCE.,,,,
female,19,Pennsylvania,Positive,SO PEOPLE CAN GET HELP.,,,,
male,44,Indiana,Positive,PRE-EXISTING CONDITIONS BECAUSE INSURANCE COMPANIES CAN DENY ANYONE THEY WISH.,,,,
female,45,Vermont,Positive,"SO PEOPLE WILL HAVE ACCESS TO SOMETHING, HEALTHCARE.",,,,
male,48,Florida,Positive,IT'S OUR BASIC DUTY TO PROVIDE HEALTHCARE FOR THE POOR AND ELDERLY.,,,,
female,72,Ohio,Positive,BECAUSE I'M A NURSE AND I KNOW THE SYSTEM DOESN'T WORK THE WAY IT IS NOW.,,,,
female,54,Pennsylvania,Positive,BECAUSE I THINK IT'S NEEDED TO CHANGE TO SAVE MONEY FOR SOME PEOPLE THAT DON'T HAVE IT BECAUSE EVERYBODY SHOULD HAVE HEALTHCARE.,,,,
male,55,South_Carolina,Positive,BECAUSE I'M FIXING TO BE AT RETIREMENT AND I'M WORRIED ABOUT WHAT'S GONNA HAPPEN WITH SOCIAL SECURITY.,,,,
male,80,Georgia,Positive,IF WE DON'T DO SOMETHING WE'LL HAVE TO PAY FOR IT ANYWAY.,,,,
female,48,Kentucky,Positive,I DON'T THINK IT'S FAIR FOR PEOPLE TO BE WITHOUT HEALTHCARE COVERAGE.,,,,
male,53,Massachusetts,Positive,BECAUSE I AM LOADED AND THEY JUST DON'T CARE.,,,,
female,68,Illinois,Positive,IT WILL SAVE MONEY.,,,,
female,32,Wisconsin,Positive,"BECAUSE I FEEL EVERYONE SHOULD HAVE ACCESS TO HEALTHCARE REGARDLESS OF INCOME, EMPLOYMENT, AND WHERE THEY LIVE.",,,,
male,20,Illinois,Positive,THE PREMIUMS KEEP RISING AND IT'S HARD TO AFFORD IT AND TOO MANY PEOPLE DO NOT HAVE HEATHCARE IN THE GREATEST NATION IN THE WORLD.,,,,
female,74,Iowa,Positive,WE JUST NEED A CHANGE.,,,,
female,86,Alabama,Positive,BECAUSE NOW IT'S HARD FOR POOR PEOPLE TO PAY WHAT THEY HAVE TO PAY FOR DENTAL BILLS AND INSURANCE AND DOCTOR BILLS. IT IS HARD ON THEM. IT IS TOO HIGH FOR WHAT THEY EARN.,,,,
female,71,Wisconsin,Positive,"HAVE TO GET A HOLD OF MEDICARE AND MEDICAID FRAUD WITH BELIEF THAT IT'S DAMAGING, AND COST OF INSURANCE HAS TO BE CURTAILED IN SOME WAY.",,,,
male,35,Missouri,Positive,SO THAT PEOPLE NEEDING HELP CAN BE COVERED.,,,,
female,46,Missouri,Positive,IT'S A START; IT'S BETTER THAN DOING NOTHING. WE HAVE TO START SOMEWHERE.,,,,
female,63,Kentucky,Positive,SOMETHING NEEDS TO BE DONE.,,,,
male,50,Wisconsin,Positive,BECAUSE IT'S GOT TO BE BETTER THAN THE STATUS QUO.,,,,
male,55,Texas,Positive,"WELL BECAUSE MY RATES ARE GOING THROUGH THE ROOF. I'VE SEEN THE RATE INCREASED IN THE LAST THREE YEARS. EVERYTHING IS SKYROCKETING, PLEASE DO SOMETHING.",,,,
male,84,Missouri,Positive,"THEY GOTTA MAKE ONE STEP AND THEN ANOTHER AND THEN ADJUST IT IF YOU NEED TO, BUT YOU CAN'T SIT ON YOUR THUMBS AND DO NOTHING.",,,,
female,74,Missouri,Positive,THEY NEED SOMETHING TO KEEP THE PRICES FROM GOING OUT OF SIGHT. HEALTHCARE PRICES ARE GOING OUT OF SIGHT.,,,,
female,70,Wisconsin,Positive,TOO MANY PEOPLE DO NOT HAVE INSURANCE.,,,,
male,29,California,Positive,BECAUSE IT'S A GOOD DEAL AND IT'S IMPORTANT TO HAVE HEALTHCARE AND POLITICALLY IT IS IMPORTANT THEY PASS IT.,,,,
female,55,North_Carolina,Positive,IT'S BETTER THAN ALL THE OTHER ONES BEING PROPOSED.,,,,
male,53,Alabama,Positive,SHOULD BE ABLE TO TAKE CARE OF OUR OWN.,,,,
female,67,Virginia,Positive,SO MORE PEOPLE CAN HAVE INSURANCE.,,,,
female,35,Wisconsin,Positive,EVERYONE HAS RIGHT TO MEDICAL TREATMENT.,,,,
male,74,Mississippi,Positive,IT NEEDS TO BE CHANGED.,,,,
male,55,Illinois,Positive,"PROVIDE NEAR UNIVERSAL COVERAGE, AND REIN IN COST.",,,,
female,87,Texas,Positive,EVERYBODY NEEDS A JOB.,,,,
male,60,North_Carolina,Positive,"BECAUSE HIS BILL IS BETTER THAN ANY OTHER WE HAVE, SO GIVE IT A CHANCE.",,,,
male,18,Missouri,Positive,BECAUSE.,,,,
female,67,Iowa,Positive,"THERE ARE TOO MANY WHO CANNOT AFFORD HEALTHCARE INSURANCE. WE OUGHT TO CHANGE THE SYSTEM SO EVERYONE CAN HAVE IT, AND THEN THE MIDDLE CLASS WILL NOT WIND UP PAYING FOR IT AS USUAL.",,,,
female,78,North_Carolina,Positive,BECAUSE OF ITS FAIRNESS.,,,,
female,61,Maryland,Positive,"THERE ARE A LOT OF PEOPLE WHO CAN'T AFFORD IT, ARE NOT WORKING, CANNOT AFFORD IT, ARE AT THE MERCY OF GOING TO THE HOSPITALS AND GETTING TURNED DOWN OR RECEIVING POOR CARE. I DON'T THINK THAT'S FAIR.",,,,
male,35,Ohio,Positive,THE CURRENT SYSTEM IS UNSUSTAINABLE.,,,,
male,69,Texas,Positive,BECAUSE OF THE UNBALANCED ROLE THAT INSURANCE COMPANIES PLAY IN OUR HEALTHCARE; THEY HAVE TOO MUCH INPUT.,,,,
male,64,Florida,Positive,THINK U.S. HEALTHCARE SYSTEM PROFIT-ORIENTED NEEDS CHANGE.,,,,
male,39,Florida,Positive,"JUST GETTING IT UNDER CONTROL, HEALTHCARE.",,,,
female,54,New_York,Positive,"I PAY MY OWN HEALTHCARE, MY EMPLOYER DOESN'T PAY. BETWEEN THE COST AND NOT HAVING ANY, THEY SHOULD DO SOMETHING.",,,,
male,31,Massachusetts,Positive,"IT IS ECONOMIC REALITY THAT WE MUST FACE, THAT HEALTHCARE COSTS ARE INCREASING. I BELIEVE THAT A FOR-PROFIT HEALTHCARE INDUSTRY WILL FURTHER DAMAGE OUR ECONOMY.",,,,
female,67,Illinois,Positive,FOR ALL THE PEOPLE WHO DON'T HAVE HEALTHCARE.,,,,
female,64,Texas,Positive,BECAUSE IT WILL COVER PEOPLE WHO HAVE PRE-EXISTING CONDITIONS WHEN THEY MOVE FROM ONE JOB TO ANOTHER.,,,,
female,32,North_Carolina,Positive,HEALTH INSURANCE IS TOO EXPENSIVE FOR PEOPLE WHO DON'T HAVE JOBS.,,,,
male,75,Wisconsin,Positive,"I THINK HEALTHCARE IS GOING TO BREAK US, AS WELL AS MEDICARE, IF WE DON'T DO SOMETHING, BECAUSE THE COST IS TAKING TOO BIG A CHUNK OUT OF THE ECONOMY.",,,,
male,56,Georgia,Positive,REDUCTION OF FEES; I SPEND OVER 300 DOLLARS A MONTH.,,,,
male,37,Michigan,Positive,BECAUSE WE NEED AFFORDABLE HEALTHCARE.,,,,
male,80,Ohio,Positive,"BECAUSE IT IS DIFFICULT FOR ME TO GO TO BED AT NIGHT KNOWING THAT CHILDREN ARE HUNGRY, SOME ARE HOMELESS, AND IN THIS COUNTRY WE JUST CAN'T TOLERATE THAT.",,,,
male,54,Florida,Positive,MY GRANDCHILDREN.,,,,
male,61,Michigan,Positive,"BECAUSE I HAVE SEEN THE EFFECTS OF WHAT HAPPENS WHEN YOU DON'T HAVE HEALTH INSURANCE. EVEN WITH THE INSURANCE, THERE'S COST THAT COMES INTO PLAY. EVEN WITH HEALTH INSURANCE, YOU WOULD NEVER BE COVERED COMPLETELY, AND YOU WILL HAVE HEALTH INSURANCE COMPANIES ACCEPTING OR REJECTING A CLAIM.",,,,
male,33,Maryland,Positive,VERY NECESSARY FOR AN ADVANCED NATION LIKE THE UNITED STATES TO HAVE A UNIVERSAL HEALTHCARE PLAN.,,,,
female,66,Wisconsin,Positive,BECAUSE A LOT OF PEOPLE DON'T HAVE HEALTHCARE AND CAN'T AFFORD IT.,,,,
female,54,New_York,Positive,I FEEL LIKE WE'LL BE ABLE TO AFFORD DECENT HEALTHCARE.,,,,
female,77,Michigan,Positive,BECAUSE THERE ARE PEOPLE THAT ONLY HAVE UNEMPLOYMENT AND THEY NEED THE HELP.,,,,
male,64,Georgia,Positive,"THIS IS AMERICA, WE SHOULD ALL HAVE THE CHANCE TO GO SEE A DOCTOR WHEN WE NEED TO.",,,,
female,40,New_York,Positive,THERE ARE SO MANY AMERICANS WITHOUT COVERAGE THAT THIS WILL GIVE THEM THE COVERAGE THEY NEED.,,,,
male,30,Florida,Positive,BECAUSE WE CURRENTLY ALREADY HAVE SOCIALIZED CARE IN THE WAY THAT UNINSURED CAN ALREADY GET HEALTHCARE THAT WE END UP PAYING FOR.,,,,
female,55,New_Hampshire,Positive,BELIEVE IT'S THE CORRECT THING TO DO FOR THE POPULATION OF THIS COUNTRY.,,,,
male,25,Minnesota,Positive,"AS THE MOST INDUSTRIALIZED COUNTRY IN THE WORLD, IT'S A CRIME TO NOT HAVE AFFORDABLE HEALTHCARE. IT'S A MORAL OBLIGATION OF OUR COUNTRY TO LEAD THE REST OF THE FREE WORLD.",,,,
male,37,Pennsylvania,Positive,WE NEED HEALTHCARE IN THE U.S. IT'S PATHETIC WE HAVE THE WORST HEALTHCARE OF ANY NATION.,,,,
female,0,Illinois,Positive,BECAUSE THE COST OF HEALTHCARE IS JUST OUTTA SIGHT CRAZY.,,,,
male,43,Vermont,Positive,BECAUSE IT WILL HELP MY PERSONAL ECONOMICS. BUT IT PROBABLY WON'T IN THE LONG RUN.,,,,
female,39,Maryland,Positive,BECAUSE WE JUST NEED SOMETHING PASSED SO PEOPLE CAN GET HELP.,,,,
male,64,Michigan,Positive,THERE HAS TO BE SOME CONTROLS AND CHECKS IN THE SYSTEM TO HELP CONTROL PRICES.,,,,
male,27,New_York,Positive,COST OF HEALTHCARE IS SO HIGH.,,,,
male,72,Georgia,Positive,IT IS NEEDED IN THE COUNTRY.,,,,
female,21,Virginia,Positive,THE WON'T COVER ME FOR WHAT I NEED TO BE COVERED.,,,,
female,78,Louisiana,Positive,WELL I'M UP IN AGE AND I WORRY ABOUT MY HEALTH AND HEALTHCARE.,,,,
male,66,Kansas,Positive,"ABSOLUTELY BETTER THAN WHAT WE HAVE. EVEN IF IT'S BAD, IT'S BETTER.",,,,
male,79,Michigan,Positive,SO MANY PEOPLE DON'T HAVE INSURANCE AT ALL THAT WOULD GO TO DOCTORS IF THEY HAD INSURANCE.,,,,
male,20,Florida,Positive,AT LEAST HE'S HELPING US WITH THE HEALTHCARE BETTER THAN WHAT BUSH WAS DOING.,,,,
female,34,Georgia,Positive,FOR LOW INCOME FAMILIES SO EVERYBODY WILL HAVE HEALTHCARE.,,,,
male,50,Connecticut,Positive,FAIRNESS. THERE ARE A LOT OF PEOPLE WHO DON'T HAVE ACCESS TO HEALTHCARE RIGHT NOW.,,,,
female,44,Maryland,Positive,I THINK THE HEALTHCARE SYSTEM HAS NEEDED TO BE UPDATED FOR DECADES. PRICES ARE SPIRALING OUT OF CONTROL. STATE BY STATE THE REGULATIONS ARE DIFFERENT. THERE IS SOMETHING WRONG THERE. I THINK INSURANCE COMPANIES MAKE TOO MUCH MONEY.,,,,
male,63,Minnesota,Positive,"TO GET PEOPLE TO STABILIZE PRICES OF INSURANCE POLICIES, AND TO MAKE SURE THE POOR HAVE ACCESS TO HEALTH INSURANCE.",,,,
female,53,New_York,Positive,BECAUSE EVERYONE NEEDS TO HAVE ACCESS TO HEALTHCARE.,,,,
female,65,Kansas,Positive,"BECAUSE I'M A SENIOR AND I CAN BARELY AFFORD IT, AND SOCIAL SECURITY IS USED MOSTLY FOR MEDICARE AND I STILL HAVE TO BUY A SUPPLEMENTAL HEALTHCARE PLAN AND THEY ARE GOING TO DO IT THEY BETTER, DO IT RIGHT AWAY. AND EVERYBODY THAT IS AN ELECTED OFFICIAL THAT GETS THE FREE HEALTHCARE SHOULD BE MY PLAN. OR I SHOULD BE ON THEIRS, EVEN PLAYING FIELD FOR EVERYONE.",,,,
female,73,Minnesota,Positive,THEY GOTTA SETTLE ON SOMETHING.,,,,
female,61,South_Carolina,Positive,YOU HAVE TO BE WITHOUT INSURANCE TO APPRECIATE ANY TYPE OF A HEALTH PROGRAM.,,,,
male,77,New_Jersey,Positive,FAIR WAY.,,,,
female,54,Georgia,Positive,"THE MAIN REASON IS BECAUSE THE HEALTHCARE HERE IS REALLY EXPENSIVE AND IT IS NOT AFFORDABLE TO EVERYONE. I DONT KNOW WHAT EXACTLY THE PRESIDENT'S HEALTHCARE PLAN IS, BUT SOMETHING HAS TO CHANGE.",,,,
male,30,New_Hampshire,Positive,THERE IS A MORAL IMPERATIVE TO PROVIDE HEALTHCARE TO PEOPLE WHO DON'T HAVE IT.,,,,
female,21,North_Carolina,Positive,THERE ARE PEOPLE WHO SEEK AND CANNOT AFFORD IT.,,,,
male,53,Minnesota,Positive,HEALTHCARE COVERAGE FOR EVERYONE.,,,,
female,60,Missouri,Positive,BECAUSE THERE ARE TOO MANY PEOPLE WHO HAVE NO HEALTH INSURANCE AT ALL. I THINK EVERYONE IS ENTITLED TO HEALTH INSURANCE.,,,,
female,88,Missouri,Positive,ALL PEOPLE COULD GET INSURANCE.,,,,
male,63,Tennessee,Positive,"PROVIDE HEALTHCARE FOR 30 MILLION PEOPLE UNINSURED, OR ACCESS TO A GREATER NUMBER OF PEOPLE, & HEALTHCARE SYSTEM IS MEDIOCRE IN ITS QUALITY AND FAR TOO COSTLY AND DON'T THINK IT SHOULD BE IN THE HANDS OF INSURANCE INDUSTRY TO DENY COVERAGE.",,,,
male,31,New_York,Positive,BENEFICIAL FOR AMERICA.  ,,,,
female,21,Florida,Positive,"BECAUSE WITHOUT ANYTHING LIKE MEDICARE, NO ONE GETS ANYWHERE.",,,,
female,57,North_Carolina,Positive,EVERYONE SHOULD BE ALLOWED TO HAVE HEALTHCARE AND IT SHOULD BE AFFORDABLE.,,,,
female,32,Oklahoma,Positive,EVERYBODY DESERVES HEALTHCARE AND THERE ARE TOO MANY PEOPLE DYING BECAUSE OF LACK OF HEALTHCARE IN THIS COUNTRY.,,,,
male,67,Wisconsin,Positive,"THE INCREASE IN PREMIUMS, THE GENERAL COST OF HEALTHCARE.",,,,
female,58,North_Carolina,Positive,"I THINK HEALTHCARE PRICES ARE TOTALLY OUT OF LINE, AND THERE ARE LOTS OF PEOPLE IN THIS COUNTRY THAT DON'T HAVE HEALTHCARE AND HAVE TO GO TO THE EMERGENCY ROOM AND IT ENDS UP COSTING THEM AN ARM AND A LEG. IT'S RIDICULOUS.",,,,
female,19,Massachusetts,Positive,THINK WE NEED TO TRY SOMETHING NEW BECAUSE WHAT WE HAVE IS NOT WORKING.,,,,
female,50,New_York,Positive,"BECAUSE EVERYONE NEEDS HEALTHCARE AT A REASONABLE COST, AND SOME PEOPLE ARE ACTUALLY DENIED HEALTHCARE BECAUSE IT'S NOT WITHIN THEIR MEANS.",,,,
female,67,Tennessee,Positive,"ALTHOUGH I DON'T HAVE A PERSONAL PROBLEM WITH HEALTHCARE, MANY YOUNGER FAMILIES DO AND ARE FALLING THROUGH THE CRACKS. THE CHILDREN AND ADULTS ARE SUFFERING.",,,,
male,52,Florida,Positive,I THINK IT'S NECESSARY REFORM.,,,,
male,30,Nebraska,Positive,"HEALTHCARE TO THE EXPENSES OF AMERICA, TO MAKE IT AFFORDABLE, YOU KNOW, BECAUSE THE DOCTORS ARE REALLY HIGH PAID AND IT'S REALLY EXPENSIVE TO GO TO THE DOCTOR FOR SMALL EMERGENCIES. YOU CAN SPEND THOUSANDS OF DOLLARS ON A HOSPITAL, AND IF IT JUST GIVES YOU A SIMPLE MEDICINE, THE COST FOR THEM TO SEE ABOUT YOU IS A LITTLE BIT EXPENSIVE.",,,,
male,52,Massachusetts,Positive,THE STATUS QUO IS UNSUSTAINABLE.,,,,
male,47,South_Carolina,Positive,IT HELPS A LOT OF PEOPLE. IT WILL BE AFFORDABLE.,,,,
male,36,Minnesota,Positive,BECAUSE I HAVE POOR INSURANCE AND I THINK IT MIGHT HELP ME.,,,,
female,59,Ohio,Positive,"I THINK IF WE DON'T DO SOMETHING TO GET HEALTHCARE COSTS UNDER CONTROL, THE WAY WE HAVE IT STRUCTURED CURRENTLY MOST BUSINESSES WELL BE AFFECTED NEGATIVELY.",,,,
female,90,Florida,Positive,EVERYONE SHOULD BE ABLE TO HAVE OR AFFORD HEALTHCARE.,,,,
male,67,Ohio,Positive,"BECAUSE HE LOST PART OF HIS, CAN'T AFFORD PERSCRIPTIONS.",,,,
female,22,Virginia,Positive,OUR CURRENT SYSTEM IS NOT WORKING. I REALIZE WE ARE NOT SWEDEN WITH BEING A SINGLE-PAYER HEALTHCARE SYSTEM BECAUSE OF OUR DEMOGRAPHICS AND OUR NEEDS ARE VERY DIFFERENT DUE TO THIS AND THE SIZE OF OUR COUNTRY. MANY CAN'T AFFORD HEALTHCARE INSURANCE.,,,,
female,99,Maryland,Positive,BECAUSE I WOULD LIKE TO SEE ALL PEOPLE HAVE HEALTHCARE.,,,,
female,40,Virginia,Positive,HEALTHCARE.,,,,
female,64,Pennsylvania,Positive,WE NEED IT. ,,,,
male,23,Georgia,Positive,THAT THE INSURANCE RATES ARE EXTRAORDINARILY HIGH AND BECOMING UNAFFORDABLE.,,,,
male,59,Arkansas,Positive,"IT'S BETTER THAN WHAT WE HAVE IN THE PAST, AND IT'S BETTER THAN NOTHING AT ALL.",,,,
male,52,Oklahoma,Positive,BECAUSE IT MAKES IT WHERE YOU HAVE UNFAIR ADVANTAGES FOR COMPANIES NOT OFFERING HEALTHCARE BENEFITS . . . PLUS A MORAL ISSUE.,,,,
male,38,Tennessee,Positive,IT WILL HELP A LOT OF PEOPLE IN THE UNITED STATES.,,,,
female,84,Arkansas,Positive,TOO MANY UNINSURED PEOPLE. HEALTHCARE IS NOT AVAILABLE TO MANY PEOPLE. HEALTHCARE NEEDS TO BE MADE MORE EQUITABLE.,,,,
female,60,Illinois,Positive,"I PAY FOR MY OWN HEALTH INSURANCE, AND IT IS GOING UP.",,,,
male,59,Nebraska,Positive,"I JUST THINK SOMETHING HAS TO BE DONE, THE PRICE OF HEALTH IS GOING UP AND UP.",,,,
male,20,Michigan,Positive,TO HELP EVERYTHING OUT AND GET EVERYTHING GOING.,,,,
female,76,Wisconsin,Positive,BECAUSE WE WILL NOT BE ABLE TO AFFORD HEALTHCARE OTHERWISE.,,,,
female,62,Nebraska,Positive,DON'T PARTICULARLY FAVOR THAT ONE BUT NEED TO START SOMEWHERE.,,,,
male,20,Wisconsin,Positive,ENSURE PEOPLE HAVE HEALTHCARE NO MATTER IF THEY CAN AFFORD IT OR NOT.,,,,
male,44,Kentucky,Positive,THINK FOR IT TO HELP PEOPLE OUT THAT REALLY NEED THE HELP. ,,,,
male,20,Wisconsin,Positive,I BELIEVE IN THE VALUES IT TALKS ABOUT.,,,,
female,23,Louisiana,Positive,WE ARE A CAPITALIST COUNTRY AND OUR CURRENT HEALTHCARE SYSTEM IS NOT RUN IN A CAPITALIST MANNER.,,,,
male,18,California,Positive,"BECAUSE A LOT OF PEOPLE CAN'T AFFORD IT. 45,000 PEOPLE DIE EACH YEAR BECAUSE OF LACK OF HEALTHCARE.",,,,
female,28,Arizona,Positive,I RECENTLY HAD A BABY AND IT WAS EXTREMELY EXPENSIVE AND I HAD HEALTH INSURANCE.,,,,
male,25,California,Positive,THE STATUS QUO IS NOT WORKING SO ANY CHANGE IS BETTER THAN WHAT WE HAVE NOW.,,,,
female,24,California,Positive,"I THINK EVERYONE SHOULD HAVE HEALTHCARE, ESPECIALLY THE WORKING CLASS. I STRONGLY BELIEVE THAT EVERY EMPLOYER SHOULD PROVIDE IT.",,,,
female,24,New_Mexico,Positive,"IT WOULD HELP A LOT OF PEOPLE THAT NEED IT, ESPECIALLY CHILDREN.",,,,
male,48,Nevada,Positive,"SOMETHING HAS GOT TO BE DONE, AND IF THEY START OVER IT WILL NEVER GET DONE.",,,,
female,48,California,Positive,"WE NEED SOMETHING THAT THE INSURANCE COMPANIES WILL REGULATE. OUR INSURANCE HAS GONE UP 25% IN THE LAST YEAR, WITH LESS COVERAGE, AND IT WAS 18% IN THE YEAR PRIOR, AND HAS AVERAGED 15-20% HIGHER IN THE LAST 10 YEARS.",,,,
female,31,Idaho,Positive,INSURANCE PREMIUMS ARE SKYROCKETING.,,,,
female,34,California,Positive,I THINK THE NUMBER OF PEOPLE WHO DON'T HAVE HEALTHCARE IN THE MIDDLE AND LOWER CLASS IS OUT OF CONTROL.,,,,
female,40,California,Positive,"THE COST WE ALREADY COVER, BUT NEED UNIVERSAL ACCESS TO GET BETTER PREVENTIVE CARE AND NOT OVERUSE THE EMERGENCY SERVICES.",,,,
female,67,Colorado,Positive,MANY UNDERPRIVILEGED THAT NEED HEALTHCARE.,,,,
female,20,Oregon,Positive,BETTER BENEFITS.,,,,
male,26,Washington,Positive,I BELIEVE THAT THE HEALTHCARE SYSTEM SHOULD BE GREATLY REDUCED IN PRICING OR MADE COMPLETELY FREE FOR LOW- TO NO-INCOME FAMILIES.,,,,
female,81,California,Positive,"I FAVOR HEALTHCARE FOR WHO NEEDS IT, MOSTLY OLD PEOPLE WHO DON'T HAVE HEALTHCARE. THE GOVERNMENT SHOULD HELP THE PEOPLE WHEN THEY ARE OLD. THEY SHOULD HAVE THAT KIND OF HEALTHCARE.",,,,
male,53,California,Positive,"WE CAN'T KEEP GOING IN THIS DIRECTION, IT'LL GET TOO EXPENSIVE.",,,,
male,65,California,Positive,IT'S BEEN REPORTED BY THE DEMOCRATS THAT IT WOULD PROVIDE HEALTHCARE FOR ALL AMERICANS.,,,,
female,33,Florida,Positive,I THINK IF WE REFORM HEALTHCARE WE WILL SAVE MONEY IN THE LONG RUN AND MORE PEOPLE WILL HAVE COVERAGE.,,,,
female,62,Utah,Positive,BECAUSE THERE ARE A LOT OF PEOPLE OUT THERE THAT DON'T GO TO THE DOCTORS BECAUSE THEY DON'T HAVE ENOUGH MONEY.,,,,
male,56,California,Positive,SO THAT THERE IS CONSISTENCY IN WHAT IS PROVIDED IN THE HEALTHCARE WORLD. HEALTHCARE TO SOME EXTENT FOR EVERYONE.,,,,
male,60,California,Positive,THINK THINGS ARE SO SCREWED UP IN HEALTHCARE THAT IT DEFINITELY NEEDS TO GET BETTER AND NOT WORSE. NEEDS IMPROVEMENT.,,,,
male,63,California,Positive,MY CHILDREN DO NOT HAVE INSURANCE.,,,,
female,72,Arizona,Positive,WHAT ARE YOU GOING TO DO WITH THESE PEOPLE WHEN THEY ARE OLD AND DON'T HAVE ANY HEALTHCARE AND DON'T HAVE ANY MONEY? WHAT WILL HAPPEN TO THEM?,,,,
female,18,Montana,Positive,NOT SO MUCH PROVIDING FOR PEOPLE BUT REFORMING HEALTHCARE PRACTICES AND PRIORITIES.,,,,
female,43,California,Positive,IT'S TOO EXPENSIVE AND PRIVATE HEALTHCARE IS TOO EXPENSIVE.,,,,
female,72,Arizona,Positive,BECAUSE OF ALL THE UNINSURED PEOPLE WITH NO HEALTH INSURANCE.,,,,
male,19,California,Positive,I BELIEVE MORE PEOPLE SHOULD BE ABLE TO OBTAIN HEALTHCARE.,,,,
male,42,California,Positive,I FEEL A NATION WITH A HIGH PERCENTAGE OF UNINSURED INDIVIDUALS WILL CREATE LONG-TERM ECONOMIC EFFECTS THAT WILL OUTWEIGH THE SHORT-TERM EFFECTS. IT WILL PAY OFF IN THE LONG TERM.  HEALTHCARE IS AN UNALIENABLE RIGHT.,,,,
male,79,California,Positive,NEED AS MUCH AS WE CAN BECAUSE WE HAVE SO MUCH SICKNESS IN THE WORLD AND IN THE COUNTRY.,,,,
male,27,Washington,Positive,BECAUSE MOST AMERICANS DON'T HAVE HEALTH INSURANCE AND THEY SHOULD BE ELIGIBLE FOR IT EVEN THOUGH THEY HAVE A MINIMUM AMOUNT OF INCOME.,,,,
female,59,Washington,Positive,I HAVE NOTHING. I HAVE NO HEALTHCARE. AND THE COST IS OUTRAGEOUS.,,,,
male,60,California,Positive,IT IS A STEP IN THE RIGHT WAY; REPUBLICANS HAD EIGHT YEARS AND THEY KEEP DOING NOTHING. TAKE CONGRESS'S HEALTHCARE AWAY FROM THEM UNTIL THEY PASS A BILL AND THEY GET THE SAME INSURANCE AS US.,,,,
male,28,California,Positive,I NEED SOME MYSELF.,,,,
male,27,California,Positive,I BELIEVE EVERY AMERICAN SHOULD HAVE ACCESS TO HEALTHCARE WHETHER THEY CAN OR CANNOT AFFORD IT.,,,,
female,35,California,Positive,"FROM MY EXPERIENCE, I'M 35 YEARS OLD. I'VE ONLY HAD FOUR YEARS OF HEALTHCARE INSURANCE COVERAGE MY ENTIRE LIFE. BECAUSE OF PRE-EXISTING CONDITIONS I'VE BEEN UNABLE TO GET HEALTHCARE. I'VE BEEN CHRONICALLY IN MEDICAL DEBT SINCE BEFORE I WAS 18 YEARS OLD.",,,,
female,63,California,Positive,BECAUSE I HAVE NO HEALTH INSURANCE AND I NEED IT.,,,,
